month,year,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,parent_metro_region,parent_metro_region_metro_code
July,2013,"Waterloo, IL",Waterloo,Illinois,IL,Single Family Residential,6,164000.0,199900.0,15.0,,9.0,37.0,2.5,99.0,0.971157468143148,0.1333333333333333,,"St. Louis, MO",41180.0
March,2020,"Lake Mohegan, NY",Lake Mohegan,New York,NY,All Residential,-1,291250.0,350000.0,6.0,8.0,5.0,8.0,1.3,87.0,0.9371885125246944,0.0,0.125,"New York, NY",35614.0
November,2016,"Ellicott City, MD",Ellicott City,Maryland,MD,Single Family Residential,6,584500.0,434950.0,46.0,48.0,32.0,118.0,2.6,71.0,0.9773667786265948,0.1956521739130434,0.3728813559322034,"Baltimore, MD",12580.0
January,2017,"Sheridan, IN",Sheridan,Indiana,IN,Single Family Residential,6,121000.0,70000.0,6.0,7.0,5.0,11.0,1.8,27.0,1.1155258153599064,0.3333333333333333,0.2727272727272727,"Indianapolis, IN",26900.0
April,2015,"Peachtree Corners, GA",Peachtree Corners,Georgia,GA,All Residential,-1,235000.0,289900.0,59.0,110.0,106.0,220.0,3.7,41.0,0.953825346211349,0.0847457627118644,0.4090909090909091,"Atlanta, GA",12060.0
June,2017,"College Station, TX",College Station,Texas,TX,Multi-Family (2-4 Unit),4,259900.0,233500.0,4.0,4.0,9.0,20.0,5.0,31.0,,0.0,,"College Station, TX",17780.0
May,2020,"Warminster Heights, PA",Warminster Heights,Pennsylvania,PA,All Residential,-1,303750.0,374450.0,2.0,4.0,6.0,5.0,2.5,5.0,0.9959946757018392,0.5,0.2,"Montgomery County, PA",33874.0
May,2021,"Media, PA",Media,Pennsylvania,PA,All Residential,-1,459900.0,450000.0,17.0,13.0,17.0,31.0,1.8,19.0,0.9968706689611738,0.4705882352941176,0.1290322580645161,"Philadelphia, PA",37964.0
March,2017,"Dothan, AL",Dothan,Alabama,AL,Townhouse,13,55003.0,159900.0,1.0,1.0,2.0,4.0,4.0,144.0,0.8475038520801232,0.0,,"Dothan, AL",20020.0
April,2019,"Waterford, WI",Waterford,Wisconsin,WI,Multi-Family (2-4 Unit),4,159000.0,289900.0,2.0,1.0,2.0,3.0,1.5,107.0,0.9411231884057972,0.5,,"Racine, WI",39540.0
October,2024,"Lecompte, LA",Lecompte,Louisiana,LA,Single Family Residential,6,199500.0,140000.0,1.0,1.0,1.0,1.0,1.0,62.0,1.0,0.0,,"Alexandria, LA",10780.0
June,2012,"Port Salerno, FL",Port Salerno,Florida,FL,All Residential,-1,95000.0,132250.0,23.0,22.0,16.0,114.0,5.0,117.0,0.9680397853924542,0.3043478260869565,,"Port St. Lucie, FL",38940.0
September,2021,"Catlin, IL",Catlin,Illinois,IL,Single Family Residential,6,192500.0,134900.0,1.0,1.0,1.0,12.0,12.0,67.0,1.0,0.0,,"Danville, IL",19180.0
July,2022,"Orwin, PA",Orwin,Pennsylvania,PA,Single Family Residential,6,59900.0,,1.0,1.0,,,,6.0,1.0,0.0,,"Pottsville, PA",39060.0
June,2013,"Catonsville, MD",Catonsville,Maryland,MD,Condo/Co-op,3,175000.0,290000.0,3.0,3.0,2.0,5.0,1.7,39.0,1.0059262410282717,0.3333333333333333,,"Baltimore, MD",12580.0
November,2024,"Akron, NY",Akron,New York,NY,All Residential,-1,675000.0,177000.0,1.0,1.0,2.0,5.0,5.0,76.0,0.964423489069867,0.0,0.4,"Buffalo, NY",15380.0
September,2016,"Crainville, IL",Crainville,Illinois,IL,Single Family Residential,6,155750.0,65950.0,2.0,2.0,4.0,9.0,4.5,105.0,0.9740462789243276,0.0,,"Carbondale, IL",16060.0
